time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,2.7341600705189142e-11,3.146907506923941e-07,10.02617065334729,0.00015736118059361814,6.283185290774568,0.0,2.734198131367711e-09,2.849822459883782e-05,0.8721224430356909,0.007411144562844382,-7.689241214280762e-07,0.0,0.24776803946262127,0.002863016184939407,899.8868463042031,900.1866883608723
0.12000000000000001,1.2670241802899362e-09,1.3044461421276578e-05,10.104580608568893,0.000849844585184556,6.283185253237967,0.0,4.75043393143364e-08,0.0005205528428625508,1.7406526105190476,0.018734098609095185,-4.2684047116708343e-07,0.0,-0.05433104179501941,0.2357311924882421,899.8696820474128,900.3276619613367
0.18,6.6902985000966535e-09,9.064715227945927e-05,10.234872896264012,0.002148689930287162,6.283185216069622,0.0,1.4000581095469392e-07,0.0023254916519726224,2.600892420939359,0.02691614330988458,-8.872237836983638e-07,0.0,0.33003029095142583,0.2314183671854766,899.8999372432743,900.2307850985457
0.23999999999999996,1.945301197898921e-08,0.00033565906111780237,10.41644139594089,0.0036312302781338346,6.2831851600385065,0.0,2.968132427368139e-07,0.006166411684498759,3.4492459001594478,0.019882649418079903,-1.027108219790862e-06,0.0,-0.10094136730050329,0.03613944823252943,900.3724053189547,900.0875848156163
0.3,4.4055535923386854e-08,0.000870020138322818,10.6484451431217,0.004748930044656596,6.2831850830864955,0.0,5.373928475226565e-07,0.011878149710085106,4.281494240683545,0.015993605229393505,-1.7933889835607926e-06,0.0,-0.23625359998920076,0.0302686846012295,900.4093888382532,900.2518046059724
0.36000000000000004,8.656685602179179e-08,0.0017900314429858833,10.9297889346208,0.00562017256143843,6.283184978658676,0.0,9.008066983299537e-07,0.01896281341430871,5.093393278912788,0.011398813851014843,-1.6346132389821941e-06,0.0,-0.06678516842057539,-0.12659168329855575,900.3561257816506,900.169993261863
0.4200000000000001,1.5497447861368366e-07,0.0031656777827860777,11.259163678802183,0.006103363691031483,6.2831848805818815,0.0,1.3981213394047871e-06,0.026991670717228092,5.8820623058209325,0.000342371926187331,-1.634613203247547e-06,0.0,0.2721352854491954,0.022643176693922296,900.5555292786256,900.1080569753753
0.48000000000000015,2.5693966788065924e-07,0.005033469291951545,11.635084590995465,0.0057395651512575085,6.283184782505092,0.0,2.0184650648643435e-06,0.035218475649183456,6.644533318992208,-0.023689142694915705,-1.6346131675129017e-06,0.0,0.3435239072070665,0.27304391073101925,900.8697191878067,899.8975915815346
0.5400000000000001,3.9963534244393154e-07,0.007364305735147724,12.05587483832942,0.004070601566919407,6.283184684428303,0.0,2.754789794082581e-06,0.042153624385650366,7.377382157664021,-0.03770668699933714,-1.6346131317782578e-06,0.0,0.41298343442355506,0.11701460630113075,900.418984712572,899.8519215519992
0.6000000000000002,5.898177896446509e-07,0.01003541304552542,12.519715910712806,0.0017254776533315308,6.283184588954381,0.0,3.6000567345998302e-06,0.04642750269576484,8.079300899795909,-0.04199564733538876,-1.5044699806560267e-06,0.0,0.35158667805284194,-0.09736325156866873,900.1773603902119,900.0038613353828
0.6600000000000003,8.336657146102843e-07,0.012868803636198821,13.024722340461997,6.2823500210667556,6.28318450577774,0.0,4.540729923340614e-06,0.047540603061129914,8.749364147831788,-0.04408292942031462,-1.149893126427926e-06,0.0,0.5728505386883006,-0.16070879410684175,900.275809998565,900.191356512252
0.7200000000000003,1.1361464098617606e-06,0.01567235092656206,13.568922905636152,6.279709568614287,6.2831844367841505,0.0,5.5503522145850735e-06,0.04543943136954499,9.385647239543271,-0.04385722054736358,-1.1498931087441733e-06,0.0,0.4573561454883999,0.017017415212193215,900.1151254816025,900.1242423601026
0.7800000000000004,1.5008347574469008e-06,0.018256448181333793,14.150263852509221,6.277064559210352,6.283184367790561,0.0,6.613566071648558e-06,0.04025320356437243,9.9873161457218,-0.04453981888907021,-1.1498930910604212e-06,0.0,0.7733929629105696,0.10489131456753448,899.9556326851774,899.9279797793408
0.8400000000000004,1.930809903792379e-06,0.0204410111066516,14.766675048267967,6.274468737938019,6.283184298796977,0.0,7.725871990332962e-06,0.032149159620162036,10.55464763431455,-0.04082680773577129,-1.1498930733766698e-06,0.0,1.206964788996789,0.0014136474769513435,899.8431508982657,899.9934651815485
0.9000000000000005,2.4288475876927784e-06,0.022059537864615186,15.416109479452457,6.272152487058474,6.283184263399997,0.0,8.878898312421123e-06,0.021452956862529095,11.088130046202446,-0.03449381992026003,5.299135714790071e-07,0.0,0.8834455065009132,-0.3497954155596229,899.882223993086,900.1386781854252
0.9600000000000005,2.9956278666980244e-06,0.022971657733268716,16.096568053327736,6.270379758356725,6.283184320417185,0.0,1.0001510325791941e-05,0.008700339613334102,11.58886240496933,-0.021136359413674536,1.7910189746437585e-06,0.0,0.826696468975022,-0.30308201251305134,900.046828238962,900.5875737107134
1.0200000000000005,3.6264462392064836e-06,0.023078111196086736,16.806053401263704,6.26928016766052,6.283184460430967,0.0,1.1001853187671888e-05,-0.005272910282780287,12.055820622895567,-0.013227894201515805,3.4186290352771523e-06,0.0,0.7241235187926678,-0.3443179466356236,899.9369528808207,900.2573143274636
1.0800000000000005,4.311489688146695e-06,0.022327307426475148,17.542593795549607,6.26858478025405,6.283184692228701,0.0,1.179617823143013e-05,-0.019800415902247164,12.490850791437579,-0.00849962105034304,4.752613893074886e-06,0.0,0.8483355030898834,-0.31171661359573655,900.0497190585622,900.2412994547419
